"Sensor","Date_Time","Date","Time","Count"
"Bourke Street Mall (North)",2020-07-01 00:00:00,2020-07-01,0,16
"Bourke Street Mall (South)",2020-07-01 00:00:00,2020-07-01,0,12
"Melbourne Central",2020-07-01 00:00:00,2020-07-01,0,120
"Town Hall (West)",2020-07-01 00:00:00,2020-07-01,0,18
"Princes Bridge",2020-07-01 00:00:00,2020-07-01,0,46
"Flinders Street Station Underpass",2020-07-01 00:00:00,2020-07-01,0,31
"Birrarung Marr",2020-07-01 00:00:00,2020-07-01,0,2
"Webb Bridge",2020-07-01 00:00:00,2020-07-01,0,7
"Southern Cross Station",2020-07-01 00:00:00,2020-07-01,0,6
"Victoria Point",2020-07-01 00:00:00,2020-07-01,0,4
"Waterfront City",2020-07-01 00:00:00,2020-07-01,0,1
"New Quay",2020-07-01 00:00:00,2020-07-01,0,20
"Flagstaff Station",2020-07-01 00:00:00,2020-07-01,0,NA
"Sandridge Bridge",2020-07-01 00:00:00,2020-07-01,0,19
"State Library",2020-07-01 00:00:00,2020-07-01,0,NA
"Collins St (North)",2020-07-01 00:00:00,2020-07-01,0,20
"Collins Place (South)",2020-07-01 00:00:00,2020-07-01,0,5
"Collins Place (North)",2020-07-01 00:00:00,2020-07-01,0,2
"Chinatown-Swanston St (North)",2020-07-01 00:00:00,2020-07-01,0,38
"Chinatown-Lt Bourke St (South)",2020-07-01 00:00:00,2020-07-01,0,20
"Bourke St-Russell St (West)",2020-07-01 00:00:00,2020-07-01,0,NA
"Flinders St-Elizabeth St (East)",2020-07-01 00:00:00,2020-07-01,0,98
"Spencer St-Collins St (South)",2020-07-01 00:00:00,2020-07-01,0,10
"Spencer St-Collins St (North)",2020-07-01 00:00:00,2020-07-01,0,44
"Melbourne Convention Exhibition Centre",2020-07-01 00:00:00,2020-07-01,0,24
"QV Market-Elizabeth St (West)",2020-07-01 00:00:00,2020-07-01,0,63
"QV Market-Peel St",2020-07-01 00:00:00,2020-07-01,0,7
"The Arts Centre",2020-07-01 00:00:00,2020-07-01,0,40
"St Kilda Rd-Alexandra Gardens",2020-07-01 00:00:00,2020-07-01,0,3
"Lonsdale St (South)",2020-07-01 00:00:00,2020-07-01,0,18
"Lygon St (West)",2020-07-01 00:00:00,2020-07-01,0,30
"City Square",2020-07-01 00:00:00,2020-07-01,0,NA
"Flinders St-Spring St (West)",2020-07-01 00:00:00,2020-07-01,0,NA
"Flinders St-Spark La",2020-07-01 00:00:00,2020-07-01,0,3
"Southbank",2020-07-01 00:00:00,2020-07-01,0,27
"Queen St (West)",2020-07-01 00:00:00,2020-07-01,0,2
"Lygon St (East)",2020-07-01 00:00:00,2020-07-01,0,5
"Alfred Place",2020-07-01 00:00:00,2020-07-01,0,NA
"Lonsdale St-Spring St (West)",2020-07-01 00:00:00,2020-07-01,0,5
"Grattan St-Swanston St (West)",2020-07-01 00:00:00,2020-07-01,0,16
"Monash Rd-Swanston St (West)",2020-07-01 00:00:00,2020-07-01,0,3
"Tin Alley-Swanston St (West)",2020-07-01 00:00:00,2020-07-01,0,6
"Little Collins St-Swanston St (East)",2020-07-01 00:00:00,2020-07-01,0,27
"Flinders La-Swanston St (West)",2020-07-01 00:00:00,2020-07-01,0,46
"Pelham St (South)",2020-07-01 00:00:00,2020-07-01,0,11
"Melbourne Central-Elizabeth St (East)",2020-07-01 00:00:00,2020-07-01,0,57
"QVM-Queen St (East)",2020-07-01 00:00:00,2020-07-01,0,9
"QVM-Therry St (South)",2020-07-01 00:00:00,2020-07-01,0,104
"Faraday St-Lygon St (West)",2020-07-01 00:00:00,2020-07-01,0,5
"QVM-Franklin St (North)",2020-07-01 00:00:00,2020-07-01,0,16
"Elizabeth St-Lonsdale St (South)",2020-07-01 00:00:00,2020-07-01,0,6
"Lincoln-Swanston (W)",2020-07-01 00:00:00,2020-07-01,0,1
"Elizabeth St-La Trobe St (East)",2020-07-01 00:00:00,2020-07-01,0,NA
"Lonsdale St - Elizabeth St (North)",2020-07-01 00:00:00,2020-07-01,0,13
"Bourke St Bridge",2020-07-01 00:00:00,2020-07-01,0,4
"Bourke St - Spencer St (North)",2020-07-01 00:00:00,2020-07-01,0,20
"RMIT Bld 80 - 445 Swanston Street",2020-07-01 00:00:00,2020-07-01,0,1
"Flinders La-Swanston St (West) Temporary",2020-07-01 00:00:00,2020-07-01,0,NA
"RMIT Building 14",2020-07-01 00:00:00,2020-07-01,0,23
"380 Elizabeth St",2020-07-01 00:00:00,2020-07-01,0,124
"La Trobe St (North)",2020-07-01 00:00:00,2020-07-01,0,53
"231 Bourke St",2020-07-01 00:00:00,2020-07-01,0,35
"Royal Pde - Grattan St",2020-07-01 00:00:00,2020-07-01,0,3
"Bourke Street Mall (North)",2020-07-01 01:00:00,2020-07-01,1,11
"Bourke Street Mall (South)",2020-07-01 01:00:00,2020-07-01,1,15
"Melbourne Central",2020-07-01 01:00:00,2020-07-01,1,40
"Town Hall (West)",2020-07-01 01:00:00,2020-07-01,1,13
"Princes Bridge",2020-07-01 01:00:00,2020-07-01,1,34
"Flinders Street Station Underpass",2020-07-01 01:00:00,2020-07-01,1,42
"Birrarung Marr",2020-07-01 01:00:00,2020-07-01,1,2
"Webb Bridge",2020-07-01 01:00:00,2020-07-01,1,6
"Southern Cross Station",2020-07-01 01:00:00,2020-07-01,1,6
"Victoria Point",2020-07-01 01:00:00,2020-07-01,1,1
"Waterfront City",2020-07-01 01:00:00,2020-07-01,1,3
"New Quay",2020-07-01 01:00:00,2020-07-01,1,22
"Flagstaff Station",2020-07-01 01:00:00,2020-07-01,1,NA
"Sandridge Bridge",2020-07-01 01:00:00,2020-07-01,1,15
"State Library",2020-07-01 01:00:00,2020-07-01,1,NA
"Collins St (North)",2020-07-01 01:00:00,2020-07-01,1,13
"Collins Place (South)",2020-07-01 01:00:00,2020-07-01,1,5
"Collins Place (North)",2020-07-01 01:00:00,2020-07-01,1,4
"Chinatown-Swanston St (North)",2020-07-01 01:00:00,2020-07-01,1,43
"Chinatown-Lt Bourke St (South)",2020-07-01 01:00:00,2020-07-01,1,14
"Bourke St-Russell St (West)",2020-07-01 01:00:00,2020-07-01,1,NA
"Flinders St-Elizabeth St (East)",2020-07-01 01:00:00,2020-07-01,1,73
"Spencer St-Collins St (South)",2020-07-01 01:00:00,2020-07-01,1,8
"Spencer St-Collins St (North)",2020-07-01 01:00:00,2020-07-01,1,21
"Melbourne Convention Exhibition Centre",2020-07-01 01:00:00,2020-07-01,1,37
"QV Market-Elizabeth St (West)",2020-07-01 01:00:00,2020-07-01,1,46
"QV Market-Peel St",2020-07-01 01:00:00,2020-07-01,1,5
"The Arts Centre",2020-07-01 01:00:00,2020-07-01,1,16
"St Kilda Rd-Alexandra Gardens",2020-07-01 01:00:00,2020-07-01,1,5
"Lonsdale St (South)",2020-07-01 01:00:00,2020-07-01,1,17
"Lygon St (West)",2020-07-01 01:00:00,2020-07-01,1,15
"City Square",2020-07-01 01:00:00,2020-07-01,1,NA
"Flinders St-Spring St (West)",2020-07-01 01:00:00,2020-07-01,1,NA
"Flinders St-Spark La",2020-07-01 01:00:00,2020-07-01,1,1
"Southbank",2020-07-01 01:00:00,2020-07-01,1,12
"Queen St (West)",2020-07-01 01:00:00,2020-07-01,1,9
"Lygon St (East)",2020-07-01 01:00:00,2020-07-01,1,8
"Alfred Place",2020-07-01 01:00:00,2020-07-01,1,NA
"Lonsdale St-Spring St (West)",2020-07-01 01:00:00,2020-07-01,1,6
"Grattan St-Swanston St (West)",2020-07-01 01:00:00,2020-07-01,1,1
"Monash Rd-Swanston St (West)",2020-07-01 01:00:00,2020-07-01,1,NA
"Tin Alley-Swanston St (West)",2020-07-01 01:00:00,2020-07-01,1,NA
"Little Collins St-Swanston St (East)",2020-07-01 01:00:00,2020-07-01,1,15
"Flinders La-Swanston St (West)",2020-07-01 01:00:00,2020-07-01,1,36
"Pelham St (South)",2020-07-01 01:00:00,2020-07-01,1,1
"Melbourne Central-Elizabeth St (East)",2020-07-01 01:00:00,2020-07-01,1,30
"QVM-Queen St (East)",2020-07-01 01:00:00,2020-07-01,1,7
"QVM-Therry St (South)",2020-07-01 01:00:00,2020-07-01,1,58
"Faraday St-Lygon St (West)",2020-07-01 01:00:00,2020-07-01,1,2
"QVM-Franklin St (North)",2020-07-01 01:00:00,2020-07-01,1,5
"Elizabeth St-Lonsdale St (South)",2020-07-01 01:00:00,2020-07-01,1,13
"Lincoln-Swanston (W)",2020-07-01 01:00:00,2020-07-01,1,NA
